logdensity,dataset,model
-1.48571873144342,in-sample,functional
-1.47629644574061,in-sample,functional
-1.48028696022205,in-sample,functional
-1.48600031355551,in-sample,functional
-1.48299542388386,in-sample,functional
-1.43907683945082,in-sample,functional
-1.43159024705427,in-sample,functional
-1.48091382216747,in-sample,functional
-1.4922532840094,in-sample,functional
-1.4528630016091,in-sample,functional
-1.49578432173744,in-sample,functional
-1.48401431532847,in-sample,functional
-1.50259180392208,in-sample,functional
-1.44497019922852,in-sample,functional
-1.48562924791749,in-sample,functional
-1.45462685656067,in-sample,functional
-1.47443061938679,in-sample,functional
-1.51134360189667,in-sample,functional
-1.4587443199522,in-sample,functional
-1.45013917237337,in-sample,functional
-1.47621649034984,in-sample,functional
-1.48418058798784,in-sample,functional
-1.49316069402898,in-sample,functional
-1.48805504999687,in-sample,functional
-1.47106097875769,in-sample,functional
-1.45698618646052,in-sample,functional
-1.48973899423691,in-sample,functional
-1.46962217085722,in-sample,functional
-1.44852272222413,in-sample,functional
-1.46472202825051,in-sample,functional
-1.47255031668328,in-sample,functional
-1.50946582884083,in-sample,functional
-1.45150312173738,in-sample,functional
-1.4735263937681,in-sample,functional
-1.49221738746608,in-sample,functional
-1.48150833633129,in-sample,functional
-1.45006709915629,in-sample,functional
-1.45335843842311,in-sample,functional
-1.4951256144475,in-sample,functional
-1.47701442252468,in-sample,functional
-1.49558398288603,in-sample,functional
-1.46339015446857,in-sample,functional
-1.5184463364708,in-sample,functional
-1.4196785921089,in-sample,functional
-1.46128211059121,in-sample,functional
-1.48659518061676,in-sample,functional
-1.48234620612733,in-sample,functional
-1.51875803644132,in-sample,functional
-1.43761850932176,in-sample,functional
-1.51525830452982,in-sample,functional
-1.47745789065815,in-sample,functional
-1.49441452470595,in-sample,functional
-1.50332845106169,in-sample,functional
-1.42851555969176,in-sample,functional
-1.46373435562016,in-sample,functional
-1.43314010799746,in-sample,functional
-1.46812275841787,in-sample,functional
-1.46037175059793,in-sample,functional
-1.48465336790266,in-sample,functional
-1.4979210612198,in-sample,functional
-1.46847175254285,in-sample,functional
-1.50050840819394,in-sample,functional
-1.48176200973549,in-sample,functional
-1.42684101665063,in-sample,functional
-1.42988406463255,in-sample,functional
-1.50625835347042,in-sample,functional
-1.45059884188205,in-sample,functional
-1.47654432548664,in-sample,functional
-1.46732304890075,in-sample,functional
-1.51084092346833,in-sample,functional
-1.48364804685005,in-sample,functional
-1.47952773020829,in-sample,functional
-1.47552497326639,in-sample,functional
-1.47387681560749,in-sample,functional
-1.43370117479637,in-sample,functional
-1.50439117782652,in-sample,functional
-1.48010941307238,in-sample,functional
-1.44921876017934,in-sample,functional
-1.47407174019895,in-sample,functional
-1.45837671404272,in-sample,functional
-1.4415048134134,in-sample,functional
-1.46460352399869,in-sample,functional
-1.50848160179677,in-sample,functional
-1.47479707559537,in-sample,functional
-1.51878004169277,in-sample,functional
-1.45485509563657,in-sample,functional
