logdensity,dataset,model
-1.55441343313462,in-sample,functional
-1.57137372420614,in-sample,functional
-1.65439415848504,in-sample,functional
-1.59965431465274,in-sample,functional
-1.60275029483671,in-sample,functional
-1.6072637377386,in-sample,functional
-1.59914401689553,in-sample,functional
-1.6246830073978,in-sample,functional
-1.55674818169318,in-sample,functional
-1.58808475066992,in-sample,functional
-1.58544009423499,in-sample,functional
-1.61309450193189,in-sample,functional
-1.57824109992056,in-sample,functional
-1.58462340539425,in-sample,functional
-1.54763854683748,in-sample,functional
-1.57728609647159,in-sample,functional
-1.54405104305984,in-sample,functional
-1.61032446930551,in-sample,functional
-1.61053218323014,in-sample,functional
-1.58772815824836,in-sample,functional
-1.59294778320554,in-sample,functional
-1.59825658711399,in-sample,functional
-1.59744066338512,in-sample,functional
-1.59682921083741,in-sample,functional
-1.60613595006198,in-sample,functional
-1.59182520673174,in-sample,functional
-1.59771939615462,in-sample,functional
-1.57943213912183,in-sample,functional
-1.59241613142175,in-sample,functional
-1.62801671268826,in-sample,functional
-1.60437373302763,in-sample,functional
-1.58190053772156,in-sample,functional
-1.58679653882168,in-sample,functional
-1.58161404215176,in-sample,functional
-1.61447624694772,in-sample,functional
-1.58567731380852,in-sample,functional
-1.58989856252471,in-sample,functional
-1.61798266411886,in-sample,functional
-1.61846891550698,in-sample,functional
-1.58527029770478,in-sample,functional
-1.56869295346049,in-sample,functional
-1.60476619451242,in-sample,functional
-1.60252919058226,in-sample,functional
-1.58897691586997,in-sample,functional
-1.55647387759163,in-sample,functional
-1.56739005463354,in-sample,functional
-1.60867883899336,in-sample,functional
